2022-03-15 17:55:15 INFO  HabaseExecutor:154 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:89 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:90 - Delele Data
2022-03-15 17:55:15 INFO  HabaseExecutor:91 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:97 - Delete Success for rowkey : Tom
2022-03-15 17:55:15 INFO  HabaseExecutor:97 - Delete Success for rowkey : Jerry
2022-03-15 17:55:15 INFO  HabaseExecutor:97 - Delete Success for rowkey : Jack
2022-03-15 17:55:15 INFO  HabaseExecutor:97 - Delete Success for rowkey : Rose
2022-03-15 17:55:15 INFO  HabaseExecutor:97 - Delete Success for rowkey : YenYen
2022-03-15 17:55:15 INFO  HabaseExecutor:128 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:129 - Scanning Table
2022-03-15 17:55:15 INFO  HabaseExecutor:130 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:150 - No row found!
2022-03-15 17:55:15 INFO  HabaseExecutor:154 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:102 - -----------------------------------------
2022-03-15 17:55:15 INFO  HabaseExecutor:103 - Delete Table
2022-03-15 17:55:15 INFO  HabaseExecutor:104 - -----------------------------------------
2022-03-15 17:55:15 INFO  HBaseAdmin:924 - Started disable of yen:student
2022-03-15 17:55:16 INFO  HBaseAdmin:3679 - Operation: DISABLE, Table Name: yen:student, procId: 146 completed
2022-03-15 17:55:16 INFO  HBaseAdmin:3679 - Operation: DELETE, Table Name: yen:student, procId: 148 completed
2022-03-15 17:55:16 INFO  HabaseExecutor:109 - Table Delete Successful
2022-03-15 17:55:16 INFO  HabaseExecutor:113 - -----------------------------------------
2022-03-15 17:55:16 INFO  HabaseExecutor:115 - Check if table exist:false
2022-03-15 17:55:16 INFO  HabaseExecutor:118 - -----------------------------------------
2022-03-15 17:55:16 INFO  HabaseExecutor:120 - Namaspace Deleted successfully.
2022-03-15 17:55:16 INFO  HabaseExecutor:161 - Current namespace : [{NAME => 'default'}, {NAME => 'hbase'}]
2022-03-15 17:55:16 INFO  HabaseExecutor:121 - Check if Namaspace Exist:false
